name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Hymenobacter	89966	genus	5252070	1	1	0.0
Oligella ureolytica	90244	species	2832856	6	0	0.0
Oligella urethralis	90245	species	2511315	6	0	0.0
Staphylococcaceae	90964	family	3243286	5	0	0.0
Bacilli	91061	class	4016986	16	0	0.0
Paraburkholderia tropica	92647	species	8824362	1	1	0.0
Sphingomonas koreensis	93064	species	4819238	5	1	0.0
Pandoraea pnomenusa	93220	species	5429298	1	0	0.0
Ramlibacter tataouinensis	94132	species	4070193	3	3	0.0
Burkholderia cenocepacia	95486	species	7744804	2	1	0.0
Cupriavidus oxalaticus	96344	species	28658331	3	0	0.0
Bacillus sp. OxB-1	98228	species	3594618	2	0	0.0
